Rank,Movie,Gross,Year
1,Avatar,"$2,847,246,203",2009
2,Avengers: Endgame,"$2,797,501,328",2019
3,Titanic,"$2,201,647,264",1997
4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700",2015
5,Avengers: Infinity War,"$2,048,359,754",2018
6,Jurassic World,"$1,670,516,444",2015
7,The Lion King,"$1,667,635,327",2019
8,The Avengers,"$1,518,815,515",2012
9,Furious 7,"$1,515,341,399",2015
10,Frozen II,"$1,450,026,933",2019
11,Avengers: Age of Ultron,"$1,402,809,540",2015
12,Black Panther,"$1,347,597,973",2018
13,Harry Potter and the Deathly Hallows: Part 2,"$1,342,321,665",2011
14,Star Wars: Episode VIII - The Last Jedi,"$1,332,698,830",2017
15,Jurassic World: Fallen Kingdom,"$1,310,466,296",2018
16,Frozen,"$1,281,508,100",2013
17,Beauty and the Beast,"$1,264,434,525",2017
18,Incredibles 2,"$1,244,639,527",2018
19,The Fate of the Furious,"$1,236,005,118",2017
20,Iron Man 3,"$1,214,811,252",2013
21,Minions,"$1,159,444,662",2015
22,Captain America: Civil War,"$1,153,337,496",2016
23,Aquaman,"$1,148,485,886",2018
24,The Lord of the Rings: The Return of the King,"$1,146,030,912",2003
25,Spider-Man: Far from Home,"$1,131,927,996",2019
26,Captain Marvel,"$1,128,462,972",2019
27,Transformers: Dark of the Moon,"$1,123,794,079",2011
28,Skyfall,"$1,108,569,499",2012
29,Transformers: Age of Extinction,"$1,104,054,072",2014
30,The Lion King,"$1,083,720,877",1994
31,The Dark Knight Rises,"$1,081,142,612",2012
32,Star Wars: Episode IX - The Rise of Skywalker,"$1,078,232,589",2019
33,Joker,"$1,074,419,384",2019
34,Toy Story 4,"$1,073,394,593",2019
35,Toy Story 3,"$1,066,970,811",2010
36,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747",2006
37,Rogue One: A Star Wars Story,"$1,056,057,720",2016
38,Aladdin,"$1,050,693,953",2019
39,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802",2011
40,Despicable Me 3,"$1,034,800,131",2017
41,Jurassic Park,"$1,033,928,303",1993
42,Finding Dory,"$1,028,570,942",2016
43,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707",1999
44,Alice in Wonderland,"$1,025,468,216",2010
45,Zootopia,"$1,024,121,104",2016
46,The Hobbit: An Unexpected Journey,"$1,017,003,568",2012
47,Harry Potter and the Sorcerer's Stone,"$1,006,968,171",2001
48,The Dark Knight,"$1,005,973,645",2008
49,Harry Potter and the Deathly Hallows: Part 1,"$977,043,483",2010
50,Despicable Me 2,"$970,766,005",2013
51,The Jungle Book,"$966,554,929",2016
52,Jumanji: Welcome to the Jungle,"$962,542,945",2017
53,The Hobbit: The Battle of the Five Armies,"$962,182,865",2014
54,Pirates of the Caribbean: At World's End,"$960,996,492",2007
55,The Hobbit: The Desolation of Smaug,"$959,007,513",2013
56,The Lord of the Rings: The Two Towers,"$947,495,095",2002
57,Harry Potter and the Order of the Phoenix,"$942,172,396",2007
58,Finding Nemo,"$940,352,645",2003
59,Harry Potter and the Half-Blood Prince,"$934,454,096",2009
60,Shrek 2,"$928,760,770",2004
61,Bohemian Rhapsody,"$911,680,507",2018
62,The Lord of the Rings: The Fellowship of the Ring,"$897,690,072",2001
63,Harry Potter and the Goblet of Fire,"$896,678,241",2005
64,Spider-Man 3,"$894,983,373",2007
65,Ice Age: Dawn of the Dinosaurs,"$886,686,817",2009
66,Spectre,"$880,681,519",2015
67,Spider-Man: Homecoming,"$880,166,924",2017
68,Harry Potter and the Chamber of Secrets,"$879,602,366",2002
69,Ice Age: Continental Drift,"$877,244,782",2012
70,The Secret Life of Pets,"$875,458,631",2016
71,Batman v Superman: Dawn of Justice,"$873,637,528",2016
72,Wolf Warrior 2,"$870,325,439",2017
73,Star Wars: Episode III - Revenge of the Sith,"$868,390,560",2005
74,The Hunger Games: Catching Fire,"$865,011,746",2013
75,Guardians of the Galaxy Vol. 2,"$863,756,051",2017
76,Inside Out,"$858,848,019",2015
77,Venom,"$856,085,151",2018
78,Thor: Ragnarok,"$853,983,911",2017
79,Inception,"$836,836,967",2010
80,Transformers: Revenge of the Fallen,"$836,303,693",2009
81,The Twilight Saga: Breaking Dawn - Part 2,"$829,747,654",2012
82,Spider-Man,"$825,025,036",2002
83,Wonder Woman,"$822,824,522",2017
84,"Hi, Mom","$822,054,381",2021
85,Independence Day,"$817,400,891",1996
86,Fantastic Beasts and Where to Find Them,"$814,044,001",2016
87,Shrek the Third,"$813,367,380",2007
88,Coco,"$807,817,888",2017
89,Jumanji: The Next Level,"$800,059,707",2019
